nwikiproject,start_ts,end_ts,tcount
0,1001492429,1017044429,1
0,1017044429,1032596429,2
0,1032596429,1048148429,3
0,1048148429,1063700429,4
0,1063700429,1079252429,5
0,1079252429,1094804429,6
0,1094804429,1110356429,7
0,1110356429,1125908429,8
0,1125908429,1141460429,9
0,1141460429,1157012429,10
0,1157012429,1172564429,11
0,1172564429,1188116429,12
0,1188116429,1203668429,13
0,1203668429,1219220429,14
0,1219220429,1234772429,15
0,1234772429,1250324429,16
0,1250324429,1265876429,17
0,1265876429,1281428429,18
0,1281428429,1296980429,19
0,1296980429,1312532429,20
0,1312532429,1328084429,21
0,1328084429,1343636429,22
0,1343636429,1359188429,23
0,1359188429,1374740429,24
0,1374740429,1390292429,25
0,1390292429,1405844429,26
0,1405844429,1421396429,27
0,1421396429,1433341432,28
1,1001492429,1017044429,1
1,1017044429,1032596429,2
1,1032596429,1048148429,3
1,1048148429,1063700429,4
1,1063700429,1079252429,5
1,1079252429,1094804429,6
1,1094804429,1110356429,7
1,1110356429,1125908429,8
1,1125908429,1141460429,9
1,1141460429,1157012429,10
1,1157012429,1172564429,11
1,1172564429,1188116429,12
1,1188116429,1203668429,13
1,1203668429,1219220429,14
1,1219220429,1234772429,15
1,1234772429,1250324429,16
1,1250324429,1265876429,17
1,1265876429,1281428429,18
1,1281428429,1296980429,19
1,1296980429,1312532429,20
1,1312532429,1328084429,21
1,1328084429,1343636429,22
1,1343636429,1359188429,23
1,1359188429,1374740429,24
1,1374740429,1390292429,25
1,1390292429,1405844429,26
1,1405844429,1421396429,27
1,1421396429,1433341432,28
2,1001492429,1017044429,1
2,1017044429,1032596429,2
2,1032596429,1048148429,3
2,1048148429,1063700429,4
2,1063700429,1079252429,5
2,1079252429,1094804429,6
2,1094804429,1110356429,7
2,1110356429,1125908429,8
2,1125908429,1141460429,9
2,1141460429,1157012429,10
2,1157012429,1172564429,11
2,1172564429,1188116429,12
2,1188116429,1203668429,13
2,1203668429,1219220429,14
2,1219220429,1234772429,15
2,1234772429,1250324429,16
2,1250324429,1265876429,17
2,1265876429,1281428429,18
2,1281428429,1296980429,19
2,1296980429,1312532429,20
2,1312532429,1328084429,21
2,1328084429,1343636429,22
2,1343636429,1359188429,23
2,1359188429,1374740429,24
2,1374740429,1390292429,25
2,1390292429,1405844429,26
2,1405844429,1421396429,27
2,1421396429,1433341432,28
3,1001492429,1017044429,1
3,1017044429,1032596429,2
3,1032596429,1048148429,3
3,1048148429,1063700429,4
3,1063700429,1079252429,5
3,1079252429,1094804429,6
3,1094804429,1110356429,7
3,1110356429,1125908429,8
3,1125908429,1141460429,9
3,1141460429,1157012429,10
3,1157012429,1172564429,11
3,1172564429,1188116429,12
3,1188116429,1203668429,13
3,1203668429,1219220429,14
3,1219220429,1234772429,15
3,1234772429,1250324429,16
3,1250324429,1265876429,17
3,1265876429,1281428429,18
3,1281428429,1296980429,19
3,1296980429,1312532429,20
3,1312532429,1328084429,21
3,1328084429,1343636429,22
3,1343636429,1359188429,23
3,1359188429,1374740429,24
3,1374740429,1390292429,25
3,1390292429,1405844429,26
3,1405844429,1421396429,27
3,1421396429,1433341432,28
4,1001492429,1017044429,1
4,1017044429,1032596429,2
4,1032596429,1048148429,3
4,1048148429,1063700429,4
4,1063700429,1079252429,5
4,1079252429,1094804429,6
4,1094804429,1110356429,7
4,1110356429,1125908429,8
4,1125908429,1141460429,9
4,1141460429,1157012429,10
4,1157012429,1172564429,11
4,1172564429,1188116429,12
4,1188116429,1203668429,13
4,1203668429,1219220429,14
4,1219220429,1234772429,15
4,1234772429,1250324429,16
4,1250324429,1265876429,17
4,1265876429,1281428429,18
4,1281428429,1296980429,19
4,1296980429,1312532429,20
4,1312532429,1328084429,21
4,1328084429,1343636429,22
4,1343636429,1359188429,23
4,1359188429,1374740429,24
4,1374740429,1390292429,25
4,1390292429,1405844429,26
4,1405844429,1421396429,27
4,1421396429,1433341432,28
5,1001492429,1017044429,1
5,1017044429,1032596429,2
5,1032596429,1048148429,3
5,1048148429,1063700429,4
5,1063700429,1079252429,5
5,1079252429,1094804429,6
5,1094804429,1110356429,7
5,1110356429,1125908429,8
5,1125908429,1141460429,9
5,1141460429,1157012429,10
5,1157012429,1172564429,11
5,1172564429,1188116429,12
5,1188116429,1203668429,13
5,1203668429,1219220429,14
5,1219220429,1234772429,15
